
010,Aizu flour milling
011,Kitakata Food Processing
012,Tajima Food service
013,Bandai Dairy industry
014,Kohriyama Trading
015,Shirakawa Foods
016,Fukushima Refrigerated
017,Nasu Warehouse
018,Iwaki Agriculture
019,Johban flour milling
020,Aizu Food Processing
021,Kitakata Food service
022,Tajima Dairy industry
023,Bandai Trading
024,Kohriyama Foods
025,Shirakawa Refrigerated
026,Fukushima Warehouse
027,Nasu Agriculture
028,Iwaki flour milling
029,Johban Food Processing
030,Aizu Food service
031,Kitakata Dairy industry
032,Tajima Trading
033,Bandai Foods
034,Kohriyama Refrigerated
035,Shirakawa Warehouse
036,Fukushima Agriculture
037,Nasu flour milling
038,Iwaki Food Processing
039,Johban Food service
040,Aizu Dairy industry
041,Kitakata Trading
042,Tajima Foods
043,Bandai Refrigerated
044,Kohriyama Warehouse
045,Shirakawa Agriculture
046,Fukushima flour milling
047,Nasu Food Processing
048,Iwaki Food service
049,Johban Dairy industry
050,Aizu Trading
051,Kitakata Foods
052,Tajima Refrigerated
053,Bandai Warehouse
054,Kohriyama Agriculture
055,Shirakawa flour milling
056,Fukushima Food Processing
057,Nasu Food service
058,Iwaki Dairy industry
059,Johban Trading
060,Aizu Foods
061,Kitakata Refrigerated
062,Tajima Warehouse
063,Bandai Agriculture
064,Kohriyama flour milling
065,Shirakawa Food Processing
066,Fukushima Food service
067,Nasu Dairy industry
068,Iwaki Trading
069,Johban Foods
070,Aizu Refrigerated
071,Kitakata Warehouse
072,Tajima Agriculture
073,Bandai flour milling
074,Kohriyama Food Processing
075,Shirakawa Food service
076,Fukushima Dairy industry
077,Nasu Trading
078,Iwaki Foods
079,Johban Refrigerated
080,Aizu Warehouse
081,Kitakata Agriculture
082,Tajima flour milling
083,Bandai Food Processing
084,Kohriyama Food service
085,Shirakawa Dairy industry
086,Fukushima Trading
087,Nasu Foods
088,Iwaki Refrigerated
089,Johban Warehouse
090,Aizu Agriculture
